Year DOY   SOD           (X)           (Y)           (Z)       (DT)    (TH)    (TW)    (TT)   (SDE)
2017 191  7020   4208830.018   2334850.460   4171267.377      7.199   2.282   0.156   2.438  12.665
2017 191  7050   4208830.016   2334850.455   4171267.375      7.284   2.282   0.156   2.439  12.666
2017 191  7080   4208830.015   2334850.449   4171267.375      7.054   2.282   0.157   2.439  12.669
2017 191  7110   4208830.016   2334850.447   4171267.376      7.395   2.282   0.157   2.439  12.669
2017 191  7140   4208830.016   2334850.442   4171267.376      7.357   2.282   0.157   2.439  12.674
2017 191  7170   4208830.015   2334850.435   4171267.375      7.581   2.282   0.157   2.440  12.679
2017 191  7200   4208830.014   2334850.435   4171267.374      7.592   2.282   0.157   2.440  12.681
2017 191  7230   4208830.010   2334850.433   4171267.374      7.360   2.282   0.157   2.440  12.681
2017 191  7260   4208830.007   2334850.432   4171267.373      7.339   2.282   0.157   2.440  12.683
2017 191  7290   4208830.003   2334850.432   4171267.373      7.348   2.282   0.157   2.440  12.684
2017 191  7320   4208830.002   2334850.433   4171267.373      7.304   2.282   0.158   2.440  12.685
2017 191  7350   4208830.003   2334850.433   4171267.372      7.911   2.282   0.158   2.440  12.684
2017 191  7380   4208830.004   2334850.432   4171267.373      7.652   2.282   0.158   2.440  12.682
2017 191  7410   4208830.004   2334850.430   4171267.373      7.808   2.282   0.158   2.440  12.680
2017 191  7440   4208830.005   2334850.427   4171267.374      7.980   2.282   0.158   2.440  12.677
2017 191  7470   4208830.004   2334850.428   4171267.375      7.160   2.282   0.158   2.440  12.674
2017 191  7500   4208830.004   2334850.431   4171267.376      6.670   2.282   0.158   2.440  12.672
2017 191  7530   4208830.008   2334850.436   4171267.378      7.020   2.282   0.158   2.440  12.672
2017 191  7560   4208830.010   2334850.440   4171267.380      7.314   2.282   0.157   2.440  12.672
2017 191  7590   4208830.011   2334850.446   4171267.382      7.291   2.282   0.157   2.439  12.671
2017 191  7620   4208830.014   2334850.453   4171267.385      7.527   2.282   0.156   2.439  12.672
2017 191  7650   4208830.016   2334850.461   4171267.386      7.254   2.282   0.156   2.438  12.675
